# Postma, Vossen (2014)
word1	word2	similarity
morgen	draadje	0.019230769230769232
hen	reis	0.057692307692307696
glas	magiër	0.46153846153846156
monnik	slaaf	0.75
begraafplaats	woud	0.8076923076923077
akkoord	glimlach	0.9038461538461539
monnik	orakel	1.0
bos	kerkhof	1.0
oever	woud	1.2115384615384615
tocht	auto	1.2884615384615385
knul	tovenaar	1.3461538461538463
kust	bos	1.3461538461538463
kust	berg	1.3846153846153846
vogel	ezel	1.4615384615384615
ezel	werktuig	1.6730769230769231
voedsel	hen	1.7307692307692308
knul	broeder	2.1153846153846154
oven	fornuis	2.3076923076923075
kust	oever	2.519230769230769
voedsel	fruit	2.769230769230769
vogel	kip	2.7884615384615383
broeder	monnik	3.0
edelsteen	juweel	3.1153846153846154
gereedschap	werktuig	3.1153846153846154
inrichting	gekkenhuis	3.2884615384615383
ochtend	morgen	3.480769230769231
tocht	reis	3.519230769230769
auto	wagen	3.673076923076923
magiër	tovenaar	3.826923076923077
jongen	knul	3.9038461538461537
